Material ID,Formula
mp-1112217,K2TaCuBr6
mp-1112417,K2TaAuF6
mp-1112080,K2TaAgI6
mp-1112083,K2TaAgCl6
mp-1112085,K2TaAgBr6
mp-1112218,K2SmCuCl6
mp-1112063,K2SmAuCl6
mp-1112087,K2SmAgCl6
mp-1111567,K2ScTlF6
mp-1111134,K2ScTlCl6
mp-1111193,K2ScTlBr6
mp-1112016,K2ScInI6
mp-1112179,K2ScInF6
mp-1112180,K2ScInCl6
mp-1112015,K2ScInBr6
mp-1112029,K2ScHgI6
mp-1111931,K2ScHgF6
mp-1111990,K2ScHgCl6
mp-1111989,K2ScHgBr6
mp-1112539,K2ScCuF6
mp-1112159,K2ScCuCl6
mp-1112062,K2ScAuI6
mp-1112557,K2ScAuF6
mp-1112065,K2ScAuCl6
mp-1111993,K2ScAuBr6
mp-1112086,K2ScAgI6
mp-1112447,K2ScAgF6
mp-1112448,K2ScAgCl6
mp-1111998,K2ScAgBr6
mp-1112064,K2SbAuI6
mp-1111960,K2SbAuF6
mp-1112067,K2SbAuCl6
mp-1112418,K2SbAuBr6
mp-1112419,K2RuAuF6
mp-1112420,K2RhAuF6
mp-1114560,K2RbYI6
mp-1111592,K2RbYF6
mp-1111202,K2RbYCl6
