"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2AgNbI6","Ag","Ag","Nb","I","0.7689786245403704","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgNbBr6","Ag","Ag","Nb","Br","0.7739952604879777","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgNiF6","Ag","Ag","Ni","F","0.8130170479721979","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgNiCl6","Ag","Ag","Ni","Cl","0.794530892315066","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgNiI6","Ag","Ag","Ni","I","0.7836724836080209","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgNiBr6","Ag","Ag","Ni","Br","0.7900089555325566","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgPF6","Ag","Ag","P","F","0.8427163008661595","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgPCl6","Ag","Ag","P","Cl","0.8183370613731954","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgPI6","Ag","Ag","P","I","0.804160653114113","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgPBr6","Ag","Ag","P","Br","0.8124205571079482","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
